Id,Sic,SicDivId,DigitalSicCode
395,Wired telecommunications activities,54,611
396,Wireless telecommunications activities,54,612
397,Satellite telecommunications activities,54,613
398,Other telecommunications activities,54,619
399,"Computer programming, consultancy and related activities",55,620
400,"Data processing, hosting and related activities; web portals",56,631
401,Other information service activities,56,639
402,Monetary intermediation,57,641
403,Activities of holding companies,57,642
404,"Trusts, funds and similar financial entities",57,643
405,"Other financial service activities, except insurance and pension funding activities",57,649
406,Insurance,58,651
407,Reinsurance,58,652
408,Pension funding,58,653
409,"Activities auxiliary to financial service activities, except insurance and pension funding",59,661
410,Activities auxiliary to insurance and pension funding,59,662
411,Fund management activities,59,663
412,681                                                      Real estate activities with own or leased property,60,681
413,682                                                      Real estate activities on a fee or contract basis,60,682
414,Legal activities,61,691
415,"Accounting, bookkeeping and auditing activities, tax consultancy",61,692
416,Activities of head offices,62,701
417,Management consultancy activities,62,702
418,Architectural and engineering activities and related technical consultancy,63,711
419,Technical testing and analysis,63,712
420,Research and experimental development on natural sciences and engineering,64,721
421,Research and experimental development on social sciences and humanities,64,722
422,Advertising,65,731
423,Market research and public opinion polling,65,732
424,Specialized design activities,66,741
425,Photographic activities,66,742
426,"Other professional, scientific and technical activities n.e.c.",66,749
427,Veterinary activities,67,750
428,Renting and leasing of motor vehicles (without driver),68,771
429,Renting and leasing of personal and household goods,68,772
430,"Renting and leasing of other machinery, equipment and tangible goods",68,773
431,"Leasing of intellectual property and similar products, except copyrighted works",68,774
432,Activities of employment placement agencies,69,781
433,Temporary employment agency activities,69,782
434,Other human resources provision,69,783
435,Travel agency and tour operator activities,70,791
436,Other reservation service and related activities,70,799
437,Private security activities,71,801
438,Security systems service activities,71,802
439,Investigation activities,71,803
440,Combined facilities support activities,72,811
441,Cleaning activities,72,812
442,Landscape care and maintenance service activities,72,813
443,Office administrative and support activities,73,821
444,Activities of call centres,73,822
445,Organization of conventions and trade shows,73,823
446,Business support service activities n.e.c.,73,829
447,Administration of the state and the economic and social policy of the community,74,841
448,Provision of services to the community as a whole,74,842
449,Compulsory social security activities,74,843
450,Pre-primary and primary education,75,851
451,Secondary education,75,852
452,Higher education,75,853
453,Other education,75,854
454,Educational support activities,75,855
455,Hospital activities,76,861
456,Medical and dental practice activities,76,862
457,Other human health activities,76,869
458,Residential nursing care facilities,77,871
459,"Residential  care  activities  for mental  retardation,  mental  health  and  substance abuse",77,872
460,Residential care activities for the elderly and disabled,77,873
461,Other residential care activities,77,879
462,Social work activities without accommodation for the elderly and disabled,78,881
463,Other social work activities without accommodation,78,889
