id,group_id,class_id,sub_class_id,description,keywords
25,14,149,01490,Raising of other animals,"b'Angora rabbit breeding, Maggot breeding, Mollusc farming, except aquatic molluscs , Ostriches raising and breeding, Pet animal breeding, other than fish, Pet bird raising and breeding, Rabbit and other fur animal raising, Rabbit breeding, Rabbit skin sorting, Raw fur skin production, Reptile skin production from ranching operation, Silk worm cocoon production, Silk worm raising, Snail farming, Insect raising, Honey processing and packing, Animal rearing for medical research, Bee keeping, Bird raising, other than poultry, Bird skin production from ranching operation, Cat and dog raising and breeding, Emu raising and breeding, Fine or coarse animal hair, not including sheep or goats wool, Fur animal raising, Fur farming, Fur skin production from ranching operation, Game bird farming , Hamster raising and breeding, Honey and beeswax production, Worm (other than marine) farming '"
26,15,150,01500,Mixed farming,"b'Crop growing in combination with farming of livestock, Mixed farming'"
27,16,161,01610,Support activities for crop production,"b'Agricultural contracting, Irrigation systems operation on a fee or contract basis, Mole catching by contractors, Pest control in connection with agriculture, Rabbit destroying and trapping on agricultural land, Rat destroying and trapping on agricultural land, Rice transplanting, Rice transplanting, on a fee or contract basis, Rodent destroying and trapping on agricultural land, Threshing by contractor, Fruit tree and vine trimming, on a fee or contract basis, Field preparation on a fee or contract basis, Fencing by agricultural contractor, Agricultural land maintenance in good agricultural and environmental condition, Agricultural machinery and equipment rental with operator, Beet thinning on a fee or contract basis, Crop and grass drying plant operation by contractor, Crop establishing for subsequent crop production, on a fee or contract basis, Crop harvesting and preparation, Crop production support activities , Crop spraying on a fee or contract basis, Crop treatment on a fee or contract basis, Vermin destroying and trapping on agricultural land'"
28,16,162,01621,Farm animal boarding and care,"b'Farm animal boarding and care (except pets), Farm animal pound'"
29,16,162,01629,Support activities for animal production (other than farm animal boarding and care) n.e.c.,"b'Agistment services on a fee or contract basis , Sheep shearing on a fee or contract basis, Sheep agisting (grazing), Propagation, growth and output of animals, promotion service activities, Poultry caponising, Herd testing services, Grazing, Farriers, on a fee or contract basis, Droving services, Coop cleaning, Artificial insemination activities on a fee or contract basis, Animal rearing for production of serum, Animal propagation, growth and output - activities to promote these, on a fee or contract basis, Animal production support activities other than farm animal boarding and care, Stud services on a fee or contract basis'"
30,16,163,01630,Post-harvest crop activities,"b'Cocoa beans, peeling and preparation , Post-harvest crop activities, Grain drying, Fruit waxing, Fruit packing, for primary market, Crop wax covering, polishing and wrapping for primary market, Crop preparation for primary market (cleaning, trimming, grading, etc.), Crop drying and disinfecting for primary market, Cotton ginning, Cooling and bulk packing of crops for primary market, Tobacco leaves, drying and preparation '"
31,16,164,01640,Seed processing for propagation,"b'Seed cleaning and treating (cereals and other crops), Seed grading (fee or contract basis), Seed grading (fruit, nuts, beverage and spice crops), Seed grading (vegetables, horticultural specialties and other nursery products), Seed post harvest processing (cereals and other crops), Seed post harvest processing (fee or contract basis), Seed post harvest processing (fruit, nuts, beverage and spice crops), Seed post harvest processing (vegetables, horticultural specialties and other nursery products), Seed processing for propagation (cereals and other crops), Seed processing for propagation (fee or contract basis), Seed processing for propagation (fruit, nuts, beverage and spice crops), Seed grading (cereals and other crops), Seed genetically modified, treatment of these (vegetables, horticultural and other nursery products), Seed cleaning and treating (fee or contract basis), Seed cleaning and treating (fruit, nuts, beverage and spice crops), Seed cleaning and treating (vegetables, horticultural specialties and other nursery products), Seed drying (cereals and other crops), Seed drying (fee or contract basis), Seed drying (fruit, nuts, beverage and spice crops), Seed drying (vegetables, horticultural specialties and other nursery products), Seed genetically modified, treatment of these (cereals and other crops), Seed genetically modified, treatment of these (fee or contract basis), Seed genetically modified, treatment of these (fruit, nuts, beverage and spice crops), Seed processing for propagation (vegetables, horticultural specialties and other nursery products)'"
32,17,170,01700,"Hunting, trapping and related service activities","b'Animal hunting and trapping, Seal catching, Sea mammal catching, Reptile skin production (from hunting), Hunting, trapping and related service activities, Hunting or trapping of animals for use in zoos , Hunting or trapping of animals for use in research, Hunting or trapping of animals for skin, Hunting or trapping of animals for pets, Hunting or trapping of animals for fur, Hunting or trapping of animals for food, Game propagation, Furskin production (from hunting), Bird skin production (from hunting), Walrus catching'"
33,21,210,02100,Silviculture and other forestry activities,"b'Coppice and pulpwood growing, Vegetable materials used for plaiting growing, Tree nursery (not fruit or ornamental trees), Timber growing, Silviculture and other forestry activities, Pulpwood production, Hoopwood production, Heath collecting, cutting or gathering, Growing of forest tree seeds, Furze collecting, cutting or gathering, Fuel wood production, Forests and timber tract planting, replanting, transplanting, thinning and conservation, Forest tree nursery operation, Forest enterprises, Willow growing'"
34,22,220,02200,Logging,"b'Charcoal production in the forest using traditional methods, Sawlog production, Split pole production, Splitwood production, Stakes (of wood) production, Timber felling, Treefelling (own account), Withy growing, Wood gathering and production, for energy, Wood in the rough production (untreated), Roundwood production for forest-based manufacturing industries, Roundwood production (untreated), Posts (of wood) production, Forest harvesting residues, gathering of these for energy, Logging, Osier growing, Pale fencing production, Pickets (of wood) production, Pilings (of wood) production, Pit props (of wood) production, Pole fencing production, Poles (of wood) production, Wood logging, etc. within forestry site'"
